"","met.x","pathway","GeneID","val.x","cell.x","Group","gene","log2FoldChange","pvalue","cell.y","comparison","group.x","x","met.y","source","group.y","val.y"
"30","Choline","Choline metabolism in cancer","Slc44a2",1,"mySC","mySC_Slc44a2","Slc44a2",-0.364314888939465,0.00377934640212195,"mySC","DREX_vs_HFD","mySC_DREX_vs_HFD","DREX_vs_HFDCholine","Choline","untf","DREX_vs_HFD",-2.80298758299549
"31","5-aminovaleric acid","Arginine and proline metabolism","Sat2",1,"mySC","mySC_Sat2","Sat2",0.711296158758072,0.00127621550946088,"mySC","DREX_vs_HFD","mySC_DREX_vs_HFD","DREX_vs_HFD5-aminovaleric acid","5-aminovaleric acid","scnf","DREX_vs_HFD",0.685440959812453
"32","5-aminovaleric acid","Arginine and proline metabolism","Sat2",1,"mySC","mySC_Sat2","Sat2",0.711296158758072,0.00127621550946088,"mySC","DREX_vs_HFD","mySC_DREX_vs_HFD","DREX_vs_HFD5-aminovaleric acid","5-aminovaleric acid","untf","DREX_vs_HFD",0.685440959812453
"33","5-aminovaleric acid","Arginine and proline metabolism","Got1",1,"mySC","mySC_Got1","Got1",-1.41719686331842,0.00692092960554774,"mySC","HFD_vs_SD","mySC_HFD_vs_SD","HFD_vs_SD5-aminovaleric acid","5-aminovaleric acid","scnf","HFD_vs_SD",0.160221738979597
"34","5-aminovaleric acid","Arginine and proline metabolism","Got1",1,"mySC","mySC_Got1","Got1",-1.41719686331842,0.00692092960554774,"mySC","HFD_vs_SD","mySC_HFD_vs_SD","HFD_vs_SD5-aminovaleric acid","5-aminovaleric acid","untf","HFD_vs_SD",0.160221738979597
"35","4-guanidinobutanoic acid","Arginine and proline metabolism","Sat2",1,"mySC","mySC_Sat2","Sat2",0.711296158758072,0.00127621550946088,"mySC","DREX_vs_HFD","mySC_DREX_vs_HFD","DREX_vs_HFD4-guanidinobutanoic acid","4-guanidinobutanoic acid","scnf","DREX_vs_HFD",-0.998726987911574
"36","4-guanidinobutanoic acid","Arginine and proline metabolism","Sat2",1,"mySC","mySC_Sat2","Sat2",0.711296158758072,0.00127621550946088,"mySC","DREX_vs_HFD","mySC_DREX_vs_HFD","DREX_vs_HFD4-guanidinobutanoic acid","4-guanidinobutanoic acid","untf","DREX_vs_HFD",-0.998726987911574
"37","4-guanidinobutanoic acid","Arginine and proline metabolism","Got1",1,"mySC","mySC_Got1","Got1",-1.41719686331842,0.00692092960554774,"mySC","HFD_vs_SD","mySC_HFD_vs_SD","HFD_vs_SD4-guanidinobutanoic acid","4-guanidinobutanoic acid","scnf","HFD_vs_SD",1.96225730336905
"38","4-guanidinobutanoic acid","Arginine and proline metabolism","Got1",1,"mySC","mySC_Got1","Got1",-1.41719686331842,0.00692092960554774,"mySC","HFD_vs_SD","mySC_HFD_vs_SD","HFD_vs_SD4-guanidinobutanoic acid","4-guanidinobutanoic acid","untf","HFD_vs_SD",1.96225730336905
"39","Anserine","Choline metabolism in cancer","Slc44a2",1,"mySC","mySC_Slc44a2","Slc44a2",-0.364314888939465,0.00377934640212195,"mySC","DREX_vs_HFD","mySC_DREX_vs_HFD","DREX_vs_HFDAnserine","Anserine","scnf","DREX_vs_HFD",0.605534431117398
"40","Anserine","Choline metabolism in cancer","Slc44a2",1,"mySC","mySC_Slc44a2","Slc44a2",-0.364314888939465,0.00377934640212195,"mySC","DREX_vs_HFD","mySC_DREX_vs_HFD","DREX_vs_HFDAnserine","Anserine","untf","DREX_vs_HFD",0.605534431117398
"41","Sn-glycero-3-phosphocholine","ABC transporters","Abca7",1,"mySC","mySC_Abca7","Abca7",-0.552647526783383,0.000834633462145639,"mySC","DREX_vs_HFD","mySC_DREX_vs_HFD","DREX_vs_HFDSn-glycero-3-phosphocholine","Sn-glycero-3-phosphocholine","scnf","DREX_vs_HFD",-5.23292566303249
"42","Sn-glycero-3-phosphocholine","ABC transporters","Abca7",1,"mySC","mySC_Abca7","Abca7",-0.552647526783383,0.000834633462145639,"mySC","DREX_vs_HFD","mySC_DREX_vs_HFD","DREX_vs_HFDSn-glycero-3-phosphocholine","Sn-glycero-3-phosphocholine","untf","DREX_vs_HFD",-5.23292566303249
"43","Sn-glycero-3-phosphocholine","ABC transporters","Abcc5",1,"mySC","mySC_Abcc5","Abcc5",-0.221488820063858,0.00311678703920418,"mySC","DREX_vs_HFD","mySC_DREX_vs_HFD","DREX_vs_HFDSn-glycero-3-phosphocholine","Sn-glycero-3-phosphocholine","scnf","DREX_vs_HFD",-5.23292566303249
"44","Sn-glycero-3-phosphocholine","ABC transporters","Abcc5",1,"mySC","mySC_Abcc5","Abcc5",-0.221488820063858,0.00311678703920418,"mySC","DREX_vs_HFD","mySC_DREX_vs_HFD","DREX_vs_HFDSn-glycero-3-phosphocholine","Sn-glycero-3-phosphocholine","untf","DREX_vs_HFD",-5.23292566303249
"45","Sn-glycero-3-phosphocholine","ABC transporters","Abca3",1,"mySC","mySC_Abca3","Abca3",0.428957845808231,0.00680557973939102,"mySC","HFD_vs_SD","mySC_HFD_vs_SD","HFD_vs_SDSn-glycero-3-phosphocholine","Sn-glycero-3-phosphocholine","scnf","HFD_vs_SD",1.69609620134758
"46","Sn-glycero-3-phosphocholine","ABC transporters","Abca3",1,"mySC","mySC_Abca3","Abca3",0.428957845808231,0.00680557973939102,"mySC","HFD_vs_SD","mySC_HFD_vs_SD","HFD_vs_SDSn-glycero-3-phosphocholine","Sn-glycero-3-phosphocholine","untf","HFD_vs_SD",1.69609620134758
"47","Sn-glycero-3-phosphocholine","Sphingolipid signaling pathway","Plcb3",1,"mySC","mySC_Plcb3","Plcb3",-0.539614523727357,0.00495300031139839,"mySC","DREX_vs_HFD","mySC_DREX_vs_HFD","DREX_vs_HFDSn-glycero-3-phosphocholine","Sn-glycero-3-phosphocholine","scnf","DREX_vs_HFD",-5.23292566303249
"48","Sn-glycero-3-phosphocholine","Sphingolipid signaling pathway","Plcb3",1,"mySC","mySC_Plcb3","Plcb3",-0.539614523727357,0.00495300031139839,"mySC","DREX_vs_HFD","mySC_DREX_vs_HFD","DREX_vs_HFDSn-glycero-3-phosphocholine","Sn-glycero-3-phosphocholine","untf","DREX_vs_HFD",-5.23292566303249
"49","Sn-glycero-3-phosphocholine","Sphingolipid signaling pathway","Gnai3",1,"mySC","mySC_Gnai3","Gnai3",0.520571252670567,0.00415286399550284,"mySC","HFD_vs_SD","mySC_HFD_vs_SD","HFD_vs_SDSn-glycero-3-phosphocholine","Sn-glycero-3-phosphocholine","scnf","HFD_vs_SD",1.69609620134758
"50","Sn-glycero-3-phosphocholine","Sphingolipid signaling pathway","Gnai3",1,"mySC","mySC_Gnai3","Gnai3",0.520571252670567,0.00415286399550284,"mySC","HFD_vs_SD","mySC_HFD_vs_SD","HFD_vs_SDSn-glycero-3-phosphocholine","Sn-glycero-3-phosphocholine","untf","HFD_vs_SD",1.69609620134758
"51","Sn-glycero-3-phosphocholine","Sphingolipid signaling pathway","Rock2",1,"mySC","mySC_Rock2","Rock2",-0.360181396753482,0.00575491582143616,"mySC","HFD_vs_SD","mySC_HFD_vs_SD","HFD_vs_SDSn-glycero-3-phosphocholine","Sn-glycero-3-phosphocholine","scnf","HFD_vs_SD",1.69609620134758
"52","Sn-glycero-3-phosphocholine","Sphingolipid signaling pathway","Rock2",1,"mySC","mySC_Rock2","Rock2",-0.360181396753482,0.00575491582143616,"mySC","HFD_vs_SD","mySC_HFD_vs_SD","HFD_vs_SDSn-glycero-3-phosphocholine","Sn-glycero-3-phosphocholine","untf","HFD_vs_SD",1.69609620134758
"53","Sn-glycero-3-phosphocholine","cGMP-PKG signaling pathway","Plcb3",1,"mySC","mySC_Plcb3","Plcb3",-0.539614523727357,0.00495300031139839,"mySC","DREX_vs_HFD","mySC_DREX_vs_HFD","DREX_vs_HFDSn-glycero-3-phosphocholine","Sn-glycero-3-phosphocholine","scnf","DREX_vs_HFD",-5.23292566303249
"54","Sn-glycero-3-phosphocholine","cGMP-PKG signaling pathway","Plcb3",1,"mySC","mySC_Plcb3","Plcb3",-0.539614523727357,0.00495300031139839,"mySC","DREX_vs_HFD","mySC_DREX_vs_HFD","DREX_vs_HFDSn-glycero-3-phosphocholine","Sn-glycero-3-phosphocholine","untf","DREX_vs_HFD",-5.23292566303249
"55","Sn-glycero-3-phosphocholine","cGMP-PKG signaling pathway","Gnai3",1,"mySC","mySC_Gnai3","Gnai3",0.520571252670567,0.00415286399550284,"mySC","HFD_vs_SD","mySC_HFD_vs_SD","HFD_vs_SDSn-glycero-3-phosphocholine","Sn-glycero-3-phosphocholine","scnf","HFD_vs_SD",1.69609620134758
"56","Sn-glycero-3-phosphocholine","cGMP-PKG signaling pathway","Gnai3",1,"mySC","mySC_Gnai3","Gnai3",0.520571252670567,0.00415286399550284,"mySC","HFD_vs_SD","mySC_HFD_vs_SD","HFD_vs_SDSn-glycero-3-phosphocholine","Sn-glycero-3-phosphocholine","untf","HFD_vs_SD",1.69609620134758
"57","Sn-glycero-3-phosphocholine","cGMP-PKG signaling pathway","Rock2",1,"mySC","mySC_Rock2","Rock2",-0.360181396753482,0.00575491582143616,"mySC","HFD_vs_SD","mySC_HFD_vs_SD","HFD_vs_SDSn-glycero-3-phosphocholine","Sn-glycero-3-phosphocholine","scnf","HFD_vs_SD",1.69609620134758
"58","Sn-glycero-3-phosphocholine","cGMP-PKG signaling pathway","Rock2",1,"mySC","mySC_Rock2","Rock2",-0.360181396753482,0.00575491582143616,"mySC","HFD_vs_SD","mySC_HFD_vs_SD","HFD_vs_SDSn-glycero-3-phosphocholine","Sn-glycero-3-phosphocholine","untf","HFD_vs_SD",1.69609620134758
"59","Sn-glycero-3-phosphocholine","cGMP-PKG signaling pathway","Adcy6",1,"mySC","mySC_Adcy6","Adcy6",0.635990214901142,0.00866395021104178,"mySC","HFD_vs_SD","mySC_HFD_vs_SD","HFD_vs_SDSn-glycero-3-phosphocholine","Sn-glycero-3-phosphocholine","scnf","HFD_vs_SD",1.69609620134758
"60","Sn-glycero-3-phosphocholine","cGMP-PKG signaling pathway","Adcy6",1,"mySC","mySC_Adcy6","Adcy6",0.635990214901142,0.00866395021104178,"mySC","HFD_vs_SD","mySC_HFD_vs_SD","HFD_vs_SDSn-glycero-3-phosphocholine","Sn-glycero-3-phosphocholine","untf","HFD_vs_SD",1.69609620134758
"61","Sn-glycero-3-phosphocholine","Regulation of lipolysis in adipocytes","Gnai3",1,"mySC","mySC_Gnai3","Gnai3",0.520571252670567,0.00415286399550284,"mySC","HFD_vs_SD","mySC_HFD_vs_SD","HFD_vs_SDSn-glycero-3-phosphocholine","Sn-glycero-3-phosphocholine","scnf","HFD_vs_SD",1.69609620134758
"62","Sn-glycero-3-phosphocholine","Regulation of lipolysis in adipocytes","Gnai3",1,"mySC","mySC_Gnai3","Gnai3",0.520571252670567,0.00415286399550284,"mySC","HFD_vs_SD","mySC_HFD_vs_SD","HFD_vs_SDSn-glycero-3-phosphocholine","Sn-glycero-3-phosphocholine","untf","HFD_vs_SD",1.69609620134758
"63","Sn-glycero-3-phosphocholine","Regulation of lipolysis in adipocytes","Adcy6",1,"mySC","mySC_Adcy6","Adcy6",0.635990214901142,0.00866395021104178,"mySC","HFD_vs_SD","mySC_HFD_vs_SD","HFD_vs_SDSn-glycero-3-phosphocholine","Sn-glycero-3-phosphocholine","scnf","HFD_vs_SD",1.69609620134758
"64","Sn-glycero-3-phosphocholine","Regulation of lipolysis in adipocytes","Adcy6",1,"mySC","mySC_Adcy6","Adcy6",0.635990214901142,0.00866395021104178,"mySC","HFD_vs_SD","mySC_HFD_vs_SD","HFD_vs_SDSn-glycero-3-phosphocholine","Sn-glycero-3-phosphocholine","untf","HFD_vs_SD",1.69609620134758
"65","Adenosine","Sphingolipid signaling pathway","Plcb3",1,"mySC","mySC_Plcb3","Plcb3",-0.539614523727357,0.00495300031139839,"mySC","DREX_vs_HFD","mySC_DREX_vs_HFD","DREX_vs_HFDAdenosine","Adenosine","scnf","DREX_vs_HFD",-0.0763990044840774
"66","Adenosine","Sphingolipid signaling pathway","Plcb3",1,"mySC","mySC_Plcb3","Plcb3",-0.539614523727357,0.00495300031139839,"mySC","DREX_vs_HFD","mySC_DREX_vs_HFD","DREX_vs_HFDAdenosine","Adenosine","untf","DREX_vs_HFD",-0.0763990044840774
"67","Adenosine","Sphingolipid signaling pathway","Gnai3",1,"mySC","mySC_Gnai3","Gnai3",0.520571252670567,0.00415286399550284,"mySC","HFD_vs_SD","mySC_HFD_vs_SD","HFD_vs_SDAdenosine","Adenosine","scnf","HFD_vs_SD",8.48141697988242
"68","Adenosine","Sphingolipid signaling pathway","Gnai3",1,"mySC","mySC_Gnai3","Gnai3",0.520571252670567,0.00415286399550284,"mySC","HFD_vs_SD","mySC_HFD_vs_SD","HFD_vs_SDAdenosine","Adenosine","untf","HFD_vs_SD",8.48141697988242
"69","Adenosine","Sphingolipid signaling pathway","Rock2",1,"mySC","mySC_Rock2","Rock2",-0.360181396753482,0.00575491582143616,"mySC","HFD_vs_SD","mySC_HFD_vs_SD","HFD_vs_SDAdenosine","Adenosine","scnf","HFD_vs_SD",8.48141697988242
"70","Adenosine","Sphingolipid signaling pathway","Rock2",1,"mySC","mySC_Rock2","Rock2",-0.360181396753482,0.00575491582143616,"mySC","HFD_vs_SD","mySC_HFD_vs_SD","HFD_vs_SDAdenosine","Adenosine","untf","HFD_vs_SD",8.48141697988242
"71","Sphingosine","cGMP-PKG signaling pathway","Plcb3",1,"mySC","mySC_Plcb3","Plcb3",-0.539614523727357,0.00495300031139839,"mySC","DREX_vs_HFD","mySC_DREX_vs_HFD","DREX_vs_HFDSphingosine","Sphingosine","scnf","DREX_vs_HFD",4.50394135911223
"72","Sphingosine","cGMP-PKG signaling pathway","Plcb3",1,"mySC","mySC_Plcb3","Plcb3",-0.539614523727357,0.00495300031139839,"mySC","DREX_vs_HFD","mySC_DREX_vs_HFD","DREX_vs_HFDSphingosine","Sphingosine","untf","DREX_vs_HFD",4.50394135911223
"73","Sphingosine","cGMP-PKG signaling pathway","Gnai3",1,"mySC","mySC_Gnai3","Gnai3",0.520571252670567,0.00415286399550284,"mySC","HFD_vs_SD","mySC_HFD_vs_SD","HFD_vs_SDSphingosine","Sphingosine","scnf","HFD_vs_SD",-2.98452075803483
"74","Sphingosine","cGMP-PKG signaling pathway","Gnai3",1,"mySC","mySC_Gnai3","Gnai3",0.520571252670567,0.00415286399550284,"mySC","HFD_vs_SD","mySC_HFD_vs_SD","HFD_vs_SDSphingosine","Sphingosine","untf","HFD_vs_SD",-2.98452075803483
"75","Sphingosine","cGMP-PKG signaling pathway","Rock2",1,"mySC","mySC_Rock2","Rock2",-0.360181396753482,0.00575491582143616,"mySC","HFD_vs_SD","mySC_HFD_vs_SD","HFD_vs_SDSphingosine","Sphingosine","scnf","HFD_vs_SD",-2.98452075803483
"76","Sphingosine","cGMP-PKG signaling pathway","Rock2",1,"mySC","mySC_Rock2","Rock2",-0.360181396753482,0.00575491582143616,"mySC","HFD_vs_SD","mySC_HFD_vs_SD","HFD_vs_SDSphingosine","Sphingosine","untf","HFD_vs_SD",-2.98452075803483
"77","Sphingosine","cGMP-PKG signaling pathway","Adcy6",1,"mySC","mySC_Adcy6","Adcy6",0.635990214901142,0.00866395021104178,"mySC","HFD_vs_SD","mySC_HFD_vs_SD","HFD_vs_SDSphingosine","Sphingosine","scnf","HFD_vs_SD",-2.98452075803483
"78","Sphingosine","cGMP-PKG signaling pathway","Adcy6",1,"mySC","mySC_Adcy6","Adcy6",0.635990214901142,0.00866395021104178,"mySC","HFD_vs_SD","mySC_HFD_vs_SD","HFD_vs_SDSphingosine","Sphingosine","untf","HFD_vs_SD",-2.98452075803483
"79","Sphingosine","PI3K-Akt signaling pathway","Lama4",1,"mySC","mySC_Lama4","Lama4",0.370466419557944,0.00314865165430872,"mySC","DREX_vs_HFD","mySC_DREX_vs_HFD","DREX_vs_HFDSphingosine","Sphingosine","scnf","DREX_vs_HFD",4.50394135911223
"80","Sphingosine","PI3K-Akt signaling pathway","Lama4",1,"mySC","mySC_Lama4","Lama4",0.370466419557944,0.00314865165430872,"mySC","DREX_vs_HFD","mySC_DREX_vs_HFD","DREX_vs_HFDSphingosine","Sphingosine","untf","DREX_vs_HFD",4.50394135911223
"81","Sphingosine","PI3K-Akt signaling pathway","Il3ra",1,"mySC","mySC_Il3ra","Il3ra",-1.46730399379521,0.00349832182640707,"mySC","HFD_vs_SD","mySC_HFD_vs_SD","HFD_vs_SDSphingosine","Sphingosine","scnf","HFD_vs_SD",-2.98452075803483
"82","Sphingosine","PI3K-Akt signaling pathway","Il3ra",1,"mySC","mySC_Il3ra","Il3ra",-1.46730399379521,0.00349832182640707,"mySC","HFD_vs_SD","mySC_HFD_vs_SD","HFD_vs_SDSphingosine","Sphingosine","untf","HFD_vs_SD",-2.98452075803483
"83","Sphingosine","AMPK signaling pathway","Adipor1",1,"mySC","mySC_Adipor1","Adipor1",-0.414995672066183,0.00748980336682962,"mySC","DR_vs_HFD","mySC_DR_vs_HFD","DR_vs_HFDSphingosine","Sphingosine","scnf","DR_vs_HFD",2.65554329503066
"84","Sphingosine","AMPK signaling pathway","Adipor1",1,"mySC","mySC_Adipor1","Adipor1",-0.414995672066183,0.00748980336682962,"mySC","DR_vs_HFD","mySC_DR_vs_HFD","DR_vs_HFDSphingosine","Sphingosine","untf","DR_vs_HFD",2.65554329503066
"85","Sphingosine","Regulation of lipolysis in adipocytes","Gnai3",1,"mySC","mySC_Gnai3","Gnai3",0.520571252670567,0.00415286399550284,"mySC","HFD_vs_SD","mySC_HFD_vs_SD","HFD_vs_SDSphingosine","Sphingosine","scnf","HFD_vs_SD",-2.98452075803483
"86","Sphingosine","Regulation of lipolysis in adipocytes","Gnai3",1,"mySC","mySC_Gnai3","Gnai3",0.520571252670567,0.00415286399550284,"mySC","HFD_vs_SD","mySC_HFD_vs_SD","HFD_vs_SDSphingosine","Sphingosine","untf","HFD_vs_SD",-2.98452075803483
"87","Sphingosine","Regulation of lipolysis in adipocytes","Adcy6",1,"mySC","mySC_Adcy6","Adcy6",0.635990214901142,0.00866395021104178,"mySC","HFD_vs_SD","mySC_HFD_vs_SD","HFD_vs_SDSphingosine","Sphingosine","scnf","HFD_vs_SD",-2.98452075803483
"88","Sphingosine","Regulation of lipolysis in adipocytes","Adcy6",1,"mySC","mySC_Adcy6","Adcy6",0.635990214901142,0.00866395021104178,"mySC","HFD_vs_SD","mySC_HFD_vs_SD","HFD_vs_SDSphingosine","Sphingosine","untf","HFD_vs_SD",-2.98452075803483
"89","Sphingosine","Parathyroid hormone synthesis, secretion and action","Arrb2",1,"mySC","mySC_Arrb2","Arrb2",-0.561606754823316,0.00113522511441967,"mySC","DREX_vs_HFD","mySC_DREX_vs_HFD","DREX_vs_HFDSphingosine","Sphingosine","scnf","DREX_vs_HFD",4.50394135911223
"90","Sphingosine","Parathyroid hormone synthesis, secretion and action","Arrb2",1,"mySC","mySC_Arrb2","Arrb2",-0.561606754823316,0.00113522511441967,"mySC","DREX_vs_HFD","mySC_DREX_vs_HFD","DREX_vs_HFDSphingosine","Sphingosine","untf","DREX_vs_HFD",4.50394135911223
"91","Sphingosine","Parathyroid hormone synthesis, secretion and action","Plcb3",1,"mySC","mySC_Plcb3","Plcb3",-0.539614523727357,0.00495300031139839,"mySC","DREX_vs_HFD","mySC_DREX_vs_HFD","DREX_vs_HFDSphingosine","Sphingosine","scnf","DREX_vs_HFD",4.50394135911223
